Bypass Authorization
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
Exposed Improper Error Handling
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;18;18;18;1;56;56;56;73;12;12;12;0;8;8;8;20;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;18;18;18;1;56;56;56;73;12;12;12;0;8;8;8;20;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;36;36;36;36;38;38;38;38;2;2;2;2;18;18;18;18;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;18;18;18;8;56;56;56;66;12;12;12;0;8;8;8;20;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;28;28;28;28;46;46;46;46;12;12;12;12;8;8;8;8;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;2;2;2;2;72;72;72;72;0;0;0;0;20;20;20;20;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;36;36;36;1;38;38;38;73;2;2;2;0;18;18;18;20;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;8;8;8;1;66;66;66;73;0;0;0;0;20;20;20;20;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;28;28;28;1;46;46;46;73;12;12;12;0;8;8;8;20;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;36;36;36;1;38;38;38;73;2;2;2;0;18;18;18;20;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;8;8;8;1;66;66;66;73;0;0;0;0;20;20;20;20;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;28;28;28;1;46;46;46;73;12;12;12;0;8;8;8;20;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;36;36;36;8;38;38;38;66;2;2;2;0;18;18;18;20;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;36;36;36;36;38;38;38;38;2;2;2;2;18;18;18;18;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;28;28;28;8;46;46;46;66;12;12;12;0;8;8;8;20;


Bad Security Design of Form Fields
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;0;0;0;0;313;313;313;313;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;3;3;3;3;264;264;264;264;3;3;3;3;310;310;310;310;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;17;17;17;0;296;296;296;313;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;0;0;0;0;313;313;313;313;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;0;0;0;0;313;313;313;313;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;3;3;3;3;264;264;264;264;3;3;3;3;310;310;310;310;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;17;17;17;0;296;296;296;313;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;0;0;0;0;313;313;313;313;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;0;0;0;0;313;313;313;313;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;3;3;3;3;264;264;264;264;3;3;3;3;310;310;310;310;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;3;3;3;3;264;264;264;264;3;3;3;3;310;310;310;310;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;3;3;3;3;264;264;264;264;3;3;3;3;310;310;310;310;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;17;17;17;0;296;296;296;313;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;17;17;17;0;296;296;296;313;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;267;267;267;267;0;0;0;0;313;313;313;313;


Method Tampering
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;32;32;32;6;58;58;58;84;1;1;1;0;0;0;0;1;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;32;32;32;32;58;58;58;58;1;1;1;1;0;0;0;0;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;32;32;32;32;58;58;58;58;1;1;1;1;0;0;0;0;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;32;32;32;1;58;58;58;89;1;1;1;0;0;0;0;1;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;36;36;36;36;54;54;54;54;0;0;0;0;1;1;1;1;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;6;6;6;6;84;84;84;84;0;0;0;0;1;1;1;1;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;6;6;6;6;84;84;84;84;0;0;0;0;1;1;1;1;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;6;6;6;1;84;84;84;89;0;0;0;0;1;1;1;1;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;36;36;36;36;54;54;54;54;0;0;0;0;1;1;1;1;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;90;90;90;90;0;0;0;0;1;1;1;1;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;89;89;89;89;0;0;0;0;1;1;1;1;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;36;36;36;36;54;54;54;54;0;0;0;0;1;1;1;1;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;89;89;89;89;0;0;0;0;1;1;1;1;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;36;36;36;36;54;54;54;54;0;0;0;0;1;1;1;1;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;36;36;36;36;54;54;54;54;0;0;0;0;1;1;1;1;


XXE
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;5;5;5;5;13;13;13;13;0;0;0;0;5;5;5;5;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;5;5;5;5;13;13;13;13;0;0;0;0;5;5;5;5;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;5;5;5;5;13;13;13;13;0;0;0;0;5;5;5;5;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;5;5;5;5;13;13;13;13;0;0;0;0;5;5;5;5;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;0;0;0;0;5;5;5;5;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;5;5;5;5;13;13;13;13;0;0;0;0;5;5;5;5;


Bad Programming of Cookies
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;34;34;34;34;85;85;85;85;0;0;0;0;25;25;25;25;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;34;34;34;34;85;85;85;85;0;0;0;0;25;25;25;25;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;34;34;34;34;85;85;85;85;0;0;0;0;25;25;25;25;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;34;34;34;34;85;85;85;85;0;0;0;0;25;25;25;25;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;34;34;34;34;85;85;85;85;0;0;0;0;25;25;25;25;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;8;8;8;8;111;111;111;111;0;0;0;0;25;25;25;25;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;7;7;7;7;112;112;112;112;0;0;0;0;25;25;25;25;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;15;15;15;15;104;104;104;104;0;0;0;0;25;25;25;25;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;30;30;30;30;89;89;89;89;0;0;0;0;25;25;25;25;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;8;8;8;8;111;111;111;111;0;0;0;0;25;25;25;25;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;15;15;15;15;104;104;104;104;0;0;0;0;25;25;25;25;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;30;30;30;30;89;89;89;89;0;0;0;0;25;25;25;25;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;15;15;15;15;104;104;104;104;0;0;0;0;25;25;25;25;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;30;30;30;30;89;89;89;89;0;0;0;0;25;25;25;25;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;30;30;30;30;89;89;89;89;0;0;0;0;25;25;25;25;


Hardcoded Secret
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;0;0;0;0;


Vulnerable Outdated Component
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;9;9;9;2;7;7;7;14;2;2;2;0;18;18;18;20;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;9;9;9;1;7;7;7;15;2;2;2;0;18;18;18;20;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;9;9;9;2;7;7;7;14;2;2;2;0;18;18;18;20;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;9;9;9;9;7;7;7;7;2;2;2;2;18;18;18;18;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;9;9;9;9;7;7;7;7;2;2;2;2;18;18;18;18;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;2;2;2;2;14;14;14;14;0;0;0;0;20;20;20;20;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;3;3;3;3;13;13;13;13;0;0;0;0;20;20;20;20;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;2;2;2;2;14;14;14;14;0;0;0;0;20;20;20;20;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;2;9;9;9;14;4;4;4;0;16;16;16;20;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;2;2;2;2;14;14;14;14;0;0;0;0;20;20;20;20;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;15;15;15;15;0;0;0;0;20;20;20;20;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;1;9;9;9;15;4;4;4;0;16;16;16;20;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;2;2;2;2;14;14;14;14;0;0;0;0;20;20;20;20;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;2;9;9;9;14;4;4;4;0;16;16;16;20;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;7;9;9;9;9;4;4;4;4;16;16;16;16;


Bypass Authentication
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;1;1;1;1;4;4;4;4;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;1;1;1;1;4;4;4;4;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;1;1;1;1;4;4;4;4;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;1;1;1;1;4;4;4;4;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;0;0;0;0;5;5;5;5;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;0;0;0;0;5;5;5;5;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;0;0;0;0;5;5;5;5;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;0;0;0;0;5;5;5;5;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;0;0;0;0;5;5;5;5;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;12;0;0;0;0;5;5;5;5;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;12;0;0;0;0;5;5;5;5;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;0;0;0;0;5;5;5;5;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;12;0;0;0;0;5;5;5;5;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;0;0;0;0;5;5;5;5;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;1;1;1;1;11;11;11;11;0;0;0;0;5;5;5;5;


Brute Force Attack
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;6;6;6;6;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;6;6;6;6;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;8;8;8;8;16;16;16;16;5;5;5;5;1;1;1;1;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;7;7;7;7;17;17;17;17;2;2;2;2;4;4;4;4;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;6;6;6;6;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;6;6;6;6;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;8;8;8;8;16;16;16;16;5;5;5;5;1;1;1;1;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;7;7;7;7;17;17;17;17;2;2;2;2;4;4;4;4;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;6;6;6;6;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;8;8;8;8;16;16;16;16;5;5;5;5;1;1;1;1;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;7;7;7;7;17;17;17;17;2;2;2;2;4;4;4;4;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;24;0;0;0;0;6;6;6;6;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;8;7;8;7;16;17;16;17;5;2;5;2;1;4;1;4;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;8;8;8;8;16;16;16;16;5;5;5;5;1;1;1;1;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;7;17;17;17;17;2;2;2;2;4;4;4;4;


Session Fixation
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;4;4;4;4;2;2;2;2;1;1;1;1;1;1;1;1;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;4;4;4;4;2;2;2;2;1;1;1;1;1;1;1;1;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;4;4;4;4;2;2;2;2;1;1;1;1;1;1;1;1;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;4;4;4;4;2;2;2;2;1;1;1;1;1;1;1;1;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;4;4;4;4;2;2;2;2;1;1;1;1;1;1;1;1;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;2;2;2;2;


Insecure scope of Cookies
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;17;17;17;10;15;15;15;22;1;1;1;0;3;3;3;4;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;10;10;10;10;22;22;22;22;0;0;0;0;4;4;4;4;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;10;10;10;10;22;22;22;22;0;0;0;0;4;4;4;4;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;10;10;10;10;22;22;22;22;0;0;0;0;4;4;4;4;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;10;10;10;10;22;22;22;22;0;0;0;0;4;4;4;4;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;17;17;17;17;15;15;15;15;1;1;1;1;3;3;3;3;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;17;17;17;1;15;15;15;31;1;1;1;0;3;3;3;4;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;17;17;17;17;15;15;15;15;1;1;1;1;3;3;3;3;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;17;17;17;17;15;15;15;15;1;1;1;1;3;3;3;3;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;1;1;1;1;31;31;31;31;0;0;0;0;4;4;4;4;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;32;32;32;32;0;0;0;0;4;4;4;4;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;32;32;32;32;0;0;0;0;4;4;4;4;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;31;31;31;31;0;0;0;0;4;4;4;4;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;1;1;1;1;31;31;31;31;0;0;0;0;4;4;4;4;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;32;32;32;32;0;0;0;0;4;4;4;4;


Insecure Deserialization
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;4;4;4;


Improper Output Neutralization for Logs
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;13;13;13;5;19;19;19;27;4;4;4;0;9;9;9;13;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;13;13;13;8;19;19;19;24;4;4;4;0;9;9;9;13;
