Bypass Authorization
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;36;36;36;0;72;72;72;108;1;1;1;0;5;5;5;6;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;36;36;36;0;72;72;72;108;1;1;1;0;5;5;5;6;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;108;108;108;108;0;0;0;0;6;6;6;6;


CSRF
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;260;260;260;260;46;46;46;46;119;119;119;119;101;101;101;101;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;260;260;260;260;46;46;46;46;119;119;119;119;101;101;101;101;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;260;260;260;260;46;46;46;46;119;119;119;119;101;101;101;101;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;260;260;260;260;46;46;46;46;119;119;119;119;101;101;101;101;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;288;288;288;288;18;18;18;18;142;142;142;142;78;78;78;78;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;159;159;159;159;147;147;147;147;55;55;55;55;165;165;165;165;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;159;159;159;48;147;147;147;258;55;55;55;9;165;165;165;211;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;159;159;159;159;147;147;147;147;55;55;55;55;165;165;165;165;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;288;288;288;288;18;18;18;18;142;142;142;142;78;78;78;78;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;48;48;48;48;258;258;258;258;9;9;9;9;211;211;211;211;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;127;127;127;127;179;179;179;179;53;53;53;53;167;167;167;167;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;288;288;288;288;18;18;18;18;142;142;142;142;78;78;78;78;
